t1,t2,station,channel,location
1973-05-21T00:00:00.395247Z,1973-05-22T00:00:06.282039Z,S14,MH2,00
1973-05-21T00:00:00.310247Z,1973-05-22T00:00:06.329115Z,S14,SHZ,
1973-05-21T05:04:41.861449Z,1973-05-22T00:00:04.880317Z,S15,MHZ,00
1973-05-21T05:04:41.823449Z,1973-05-22T00:00:04.842317Z,S15,MH1,00
1973-05-21T05:04:41.842449Z,1973-05-22T00:00:04.861317Z,S15,MH2,00
1973-05-21T05:04:41.757449Z,1973-05-22T00:00:04.908392Z,S15,SHZ,
1973-05-21T05:04:27.504710Z,1973-05-22T00:00:05.014144Z,S16,MHZ,00
1973-05-21T05:04:27.466710Z,1973-05-22T00:00:04.976144Z,S16,MH1,00
1973-05-21T05:04:27.485710Z,1973-05-22T00:00:04.995144Z,S16,MH2,00
1973-05-21T05:04:27.400710Z,1973-05-22T00:00:05.042219Z,S16,SHZ,
1973-05-22T00:00:00.333000Z,1973-05-23T00:00:03.200925Z,S12,MHZ,00
1973-05-22T00:00:00.295000Z,1973-05-23T00:00:03.162925Z,S12,MH1,00
1973-05-22T00:00:00.314000Z,1973-05-23T00:00:03.181925Z,S12,MH2,00
1973-05-22T00:00:00.654000Z,1973-05-23T00:00:06.540792Z,S14,MH1,00
1973-05-22T00:00:00.673000Z,1973-05-23T00:00:06.559792Z,S14,MH2,00
1973-05-22T00:00:00.588000Z,1973-05-23T00:00:06.606868Z,S14,SHZ,
1973-05-22T00:00:00.137000Z,1973-05-23T00:00:04.816245Z,S15,MHZ,00
1973-05-22T00:00:00.099000Z,1973-05-23T00:00:04.778245Z,S15,MH1,00
1973-05-22T00:00:00.118000Z,1973-05-23T00:00:04.797245Z,S15,MH2,00
1973-05-22T00:00:00.033000Z,1973-05-23T00:00:04.844321Z,S15,SHZ,
1973-05-22T00:00:00.592000Z,1973-05-23T00:00:04.667472Z,S16,MHZ,00
1973-05-22T00:00:00.554000Z,1973-05-23T00:00:04.629472Z,S16,MH1,00
1973-05-22T00:00:00.573000Z,1973-05-23T00:00:04.648472Z,S16,MH2,00
1973-05-22T00:00:00.488000Z,1973-05-23T00:00:04.695547Z,S16,SHZ,
1973-05-23T00:00:00.664000Z,1973-05-24T00:00:02.928151Z,S12,MHZ,00
1973-05-23T00:00:00.626000Z,1973-05-24T00:00:02.890151Z,S12,MH1,00
1973-05-23T00:00:00.645000Z,1973-05-24T00:00:02.909151Z,S12,MH2,00
1973-05-23T00:00:00.646000Z,1973-05-24T00:00:06.532792Z,S14,MH1,00
1973-05-23T00:00:00.665000Z,1973-05-24T00:00:06.551792Z,S14,MH2,00
1973-05-23T00:00:00.580000Z,1973-05-24T00:00:06.598868Z,S14,SHZ,
1973-05-23T00:00:00.181000Z,1973-05-24T00:00:04.860245Z,S15,MHZ,00
1973-05-23T00:00:00.143000Z,1973-05-24T00:00:04.822245Z,S15,MH1,00
1973-05-23T00:00:00.162000Z,1973-05-24T00:00:04.841245Z,S15,MH2,00
1973-05-23T00:00:00.077000Z,1973-05-24T00:00:04.888321Z,S15,SHZ,
1973-05-23T00:00:00.532000Z,1973-05-24T00:00:04.003698Z,S16,MHZ,00
1973-05-23T00:00:00.494000Z,1973-05-24T00:00:03.965698Z,S16,MH1,00
1973-05-23T00:00:00.513000Z,1973-05-24T00:00:03.984698Z,S16,MH2,00
1973-05-23T00:00:00.428000Z,1973-05-24T00:00:04.031774Z,S16,SHZ,
1973-05-24T00:00:00.566000Z,1973-05-25T00:00:02.226377Z,S12,MHZ,00
1973-05-24T00:00:00.528000Z,1973-05-25T00:00:02.188377Z,S12,MH1,00
1973-05-24T00:00:00.547000Z,1973-05-25T00:00:02.207377Z,S12,MH2,00
1973-05-24T00:00:00.470000Z,1973-05-24T23:00:07.866226Z,S14,MH1,00
1973-05-24T00:00:00.489000Z,1973-05-24T23:00:07.885226Z,S14,MH2,00
1973-05-24T00:00:00.404000Z,1973-05-24T23:00:07.932302Z,S14,SHZ,
1973-05-24T00:00:00.632000Z,1973-05-25T00:00:03.499925Z,S15,MHZ,00
1973-05-24T00:00:00.594000Z,1973-05-25T00:00:03.461925Z,S15,MH1,00
1973-05-24T00:00:00.613000Z,1973-05-25T00:00:03.480925Z,S15,MH2,00
1973-05-24T00:00:00.528000Z,1973-05-25T00:00:03.528000Z,S15,SHZ,
1973-05-24T00:00:00.684000Z,1973-05-25T00:00:03.551925Z,S16,MHZ,00
1973-05-24T00:00:00.646000Z,1973-05-25T00:00:03.513925Z,S16,MH1,00
1973-05-24T00:00:00.665000Z,1973-05-25T00:00:03.532925Z,S16,MH2,00
1973-05-24T00:00:00.580000Z,1973-05-25T00:00:03.580000Z,S16,SHZ,
1973-05-25T00:00:00.185000Z,1973-05-26T00:00:01.845377Z,S12,MHZ,00
1973-05-25T00:00:00.147000Z,1973-05-26T00:00:01.807377Z,S12,MH1,00
